OTHERS CHANNELS,,,,,,
,,,,,,
,,(utm_campaign),,,,
"Channel
(utm_medium)","Source
(utm_source)","Campaign 
Region","Campaign 
Goal","Campaign 
Name","Campaign 
Details",Other terms
offline,eventos,eve,activation,Promoção Suprasoy,banner,
,folheteria,folh,signup,Branding Josapar,button-learn-more,
,sales,sales,subscription,Armazem Tio João,description,
,tv,tv,traffic,RGC Webinário,hiperlink,
,portal,portal,,,internal-link,
,,,,,notification-bar,
,referral,referal,,,qr-code,
,evento,eve,,,photo,
,folheteria,folh,,,popup,
,interno,interno,,,post-blog,
,sales,sales,,,release,
,zendesk,zendesk,,,scroll-button,
,,,,,search,
,,,,,side-banner,
,,,,,title,